#Hole with N=4
#Group_ID Point_ID X_cord Y_cord Z_cord
1 181 0.847188 -0.764522 0
1 182 0.847235 -0.738631 0
1 183 0.847193 -0.710675 0
1 184 0.847231 -0.680718 0
1 185 0.847196 -0.64905 0
1 186 0.847229 -0.615726 0
1 187 0.847198 -0.580966 0
1 188 0.847227 -0.544826 0
1 189 0.847199 -0.507483 0
1 190 0.847226 -0.468997 0
1 191 0.8472 -0.429518 0
1 192 0.847225 -0.389108 0
1 193 0.847201 -0.3479 0
1 194 0.847225 -0.30596 0
1 195 0.847202 -0.263407 0
1 196 0.847224 -0.22031 0
1 197 0.847202 -0.17678 0
1 198 0.847224 -0.13289 0
1 199 0.847202 -0.0887414 0
1 200 0.847224 -0.0444138 0
